URL,campaign,ad_format,clicks,spend,creative_size,date,impressions,reach,audience,platform,creative_family,creative_version,full_video_views,video_starts,follows,days_from_max,latest_report,CTR,CTR_score,weighted_CTR_score,n
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale lenders,2022-10-18,3,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,13,1,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,mortgage loan broker license,2022-07-20,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,103,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale lending,2022-06-19,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,134,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale lenders,2022-07-23,5,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,100,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale mortgage lenders,2022-09-27,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,34,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage company,2022-10-10,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,21,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,mortgage loan broker license,2022-07-06,2,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,117,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale lending,2022-10-19,0,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,12,1,NA,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale lending,2022-06-21,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,132,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,simple mortgage,2022-08-26,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,66,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,mortgage loan broker license,2022-08-24,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,68,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage lenders,2022-08-11,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,81,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage lenders list,2022-08-16,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,76,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,CDFI,2022-07-31,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,92,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale lenders,2022-07-25,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,98,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,mortgage loan broker license,2022-05-26,2,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,158,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale lending,2022-05-06,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,178,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage rates,2022-06-28,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,125,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale lending,2022-09-20,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,41,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale lenders,2022-07-28,2,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,95,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale lenders,2022-08-30,9,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,62,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale lending,2022-08-22,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,70,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,mortgage loan broker license,2022-06-19,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,134,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale lending,2022-06-30,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,123,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage lenders list,2022-08-11,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,81,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale lenders,2022-04-04,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,210,0,0,NA,NA,2
