,date,audience,clicks,spend,impressions,reach,total_sessions,completions_F_T,Audience_1,Audience_2,Audience_3,Audience_4,Audience_5,Audience_6,Close_Faster,Closer_Twins,Competitive_Opportunity,SEM_Ads,Unfair_Advantage,Domain_Dsiplay,Facebook,Google_SEM,Linkedin,OTT,User_ID_Display
8712,13/10/2022,5,8,13.372821,2742,907,16,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
8713,13/10/2022,5,1,37.39005658,207,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
8714,13/10/2022,5,4,33.65439883,200,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
8715,13/10/2022,5,1,0,3065,176,5,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
8716,13/10/2022,5,8,0,5492,223,11,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
8717,13/10/2022,5,3,22.4107703,150,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
8718,13/10/2022,5,6,155.49,1673,0,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
8719,13/10/2022,5,7,0,7383,301,7,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
8720,13/10/2022,5,3,27.89268806,180,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
8721,13/10/2022,5,18,0,6094,239,13,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
8722,13/10/2022,5,3,24.74638101,168,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
8723,13/10/2022,6,82,52.3,366,0,152,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
8724,13/10/2022,6,1,0.72,20,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
8725,14/10/2022,1,9,32.788227,6436,3557,18,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
