...1,date,audience,creative_family,creative_version,platform,ad_format,campaign_traffic,total_sessions,total_bounces,total_duration,days_away,latest_report
8654,2022-08-15,4,CloserTwins,CloseMore,Domain Display,NA,Campaign,3,0,0,77,0
8655,2022-09-12,5,CloserTwins,CloseMore,Domain Display,NA,Campaign,1,0,22,49,0
8656,2022-07-07,4,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,4,0,0,116,0
8657,2022-09-07,5,UnfairAdvantage,1099,LinkedIn,Single image,Campaign,3,0,0,54,0
8658,2022-05-08,4,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,2,0,0,176,0
8659,2022-09-21,2,UnfairAdvantage,1099,User ID Display,Single image,Campaign,14,0,0,40,0
8660,2022-07-01,NA,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,1,0,3,122,0
8661,2022-08-26,3,UnfairAdvantage,1099,User ID Display,Single image,Campaign,4,0,0,66,0
8662,2022-10-23,4,CloserTwins,Faster,Domain Display,NA,Campaign,8,0,10,8,1
8663,2022-09-05,3,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,2,0,0,56,0
8664,2022-04-28,6,CloserTwins,OTT_30,OTT,Video,Campaign,3,0,0,186,0
8665,2022-06-16,4,CloserTwins,Faster,Domain Display,NA,Campaign,5,0,0,137,0
8666,2022-08-25,4,CloserTwins,MoreLoansAll,Domain Display,NA,Campaign,1,0,0,67,0
8667,2022-09-01,5,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,5,0,0,60,0
8668,2022-06-24,1,CloserTwins,Faceoff,Domain Display,NA,Campaign,1,0,0,129,0
8669,2022-06-04,3,CloserTwins,Cutdown1B,Facebook,Video,Campaign,1,0,0,149,0
8670,2022-06-05,6,SEM Ads,Change Wholesale,Google SEM,CPC,Campaign,24,0,615,148,0
8671,2022-06-06,5,CloseFaster,MoreAll,Domain Display,NA,Campaign,3,0,6,147,0
8672,2022-06-25,5,CloseFaster,MoreAll,Domain Display,NA,Campaign,7,0,0,128,0
8673,2022-10-16,4,CloseFaster,FasterAll,User ID Display,NA,Campaign,26,0,0,15,0
8674,2022-09-03,2,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,3,0,0,58,0
8675,2022-08-23,NA,CloserTwins,Namaste,LinkedIn,Video,Campaign,1,0,0,69,0
8676,2022-08-14,4,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,5,0,0,78,0
8677,2022-05-06,6,Trade Media Ads,Rate Lock,Trade Media,Scotsman,Campaign,1,0,0,178,0
8678,2022-07-20,4,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,0,103,0
8679,2022-04-02,NA,(not set),NA,NA,NA,General traffic,235,1,16916.9999999999,212,0
8680,2022-05-08,4,UnfairAdvantage,1099,LinkedIn,Single image,Campaign,1,0,0,176,0
8681,2022-09-23,3,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,14,0,103.999999999999,38,0
8682,2022-08-15,4,CloserTwins,Cutdown1B,Domain Display,Video,Campaign,2,0,0,77,0
8683,2022-05-10,5,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,4,0,0,174,0
8684,2022-05-30,5,CloserTwins,Paperwork,LinkedIn,Video,Campaign,2,0,0,154,0
8685,2022-09-10,4,CloserTwins,Competitors,Domain Display,NA,Campaign,2,0,0,51,0
8686,2022-06-18,5,CloserTwins,interactive,Domain Display,NA,Campaign,1,1,0,135,0
8687,2022-09-24,3,UnfairAdvantage,1099,User ID Display,Single image,Campaign,11,0,0,37,0
8688,2022-08-22,1,CloseFaster,NoDTI,LinkedIn,Single image,Campaign,1,0,0,70,0
8689,2022-08-06,5,CloserTwins,Faceoff,Domain Display,NA,Campaign,5,0,463,86,0
8691,2022-10-22,5,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,45,0,283.999999999999,9,1
8692,2022-09-24,4,UnfairAdvantage,NoDTI,User ID Display,NA,Campaign,9,0,0,37,0
8693,2022-08-26,6,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,3,0,0,66,0
8694,2022-08-04,1,UnfairAdvantage,one_page,LinkedIn,Single image,Campaign,1,0,0,88,0
