...1,date,campaign,audience,creative_family,creative_version,platform,ad_format,goal,completions,campaign_traffic,days_away,latest_report
2067,2022-04-07,(not set),NA,NA,NA,NA,NA,Form Submission,2,General traffic,207,0
2068,2022-04-07,(not set),NA,NA,NA,NA,NA,Get Approved,3,General traffic,207,0
2069,2022-04-07,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),5,General traffic,207,0
2070,2022-04-07,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),20,General traffic,207,0
2071,2022-04-07,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,207,0
2072,2022-04-07,(not set),NA,NA,NA,NA,NA,Start Closing More,2,General traffic,207,0
2073,2022-04-08,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,206,0
2074,2022-04-08,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),4,General traffic,206,0
2075,2022-04-08,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),18,General traffic,206,0
2076,2022-04-08,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,206,0
2077,2022-04-08,(not set),NA,NA,NA,NA,NA,Start Closing More,4,General traffic,206,0
2078,2022-04-09,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,205,0
2079,2022-04-09,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic,205,0
2080,2022-04-09,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),6,General traffic,205,0
2081,2022-04-09,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,205,0
2082,2022-04-10,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,204,0
2083,2022-04-10,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),3,General traffic,204,0
2084,2022-04-10,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic,204,0
2085,2022-04-10,(not set),NA,NA,NA,NA,NA,Start Closing More,2,General traffic,204,0
2086,2022-04-11,(not set),NA,NA,NA,NA,NA,Form Submission,2,General traffic,203,0
2087,2022-04-11,(not set),NA,NA,NA,NA,NA,Get Approved,6,General traffic,203,0
2088,2022-04-11,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),24,General traffic,203,0
2089,2022-04-11,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),2,General traffic,203,0
2090,2022-04-11,(not set),NA,NA,NA,NA,NA,Start Closing More,3,General traffic,203,0
2091,2022-04-12,(not set),NA,NA,NA,NA,NA,Form Submission,2,General traffic,202,0
2092,2022-04-12,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,202,0
