,city_name,latitude,longitude,city_population,city_state_code,state_name
1160,Short Pump,37.65042,-77.61249,24729,VA,Virginia
503,Shreveport,32.52515,-93.75018,197204,LA,Louisiana
1592,Shrewsbury,42.29593,-71.71285,33893,MA,Massachusetts
765,Sicklerville,39.71734,-74.96933,42891,NJ,New Jersey
2209,Sidney,40.28422,-84.1555,20858,OH,Ohio
2406,Sierra Vista,31.55454,-110.30369,43355,AZ,Arizona
650,Sikeston,36.87672,-89.58786,16436,MO,Missouri
60,Siloam Springs,36.18814,-94.5405,16081,AR,Arkansas
3178,Silver Firs,47.86602,-122.1551,20891,WA,Washington
3264,Silver Lake,34.08668,-118.27023,32890,CA,California
592,Silver Spring,38.99067,-77.02609,71452,MD,Maryland
3123,Silverdale,47.64454,-122.69487,19204,WA,Washington
2758,Simi Valley,34.26945,-118.78148,126788,CA,California
875,Simpsonville,34.73706,-82.25428,20736,SC,South Carolina
1280,Sioux City,42.49999,-96.40031,82821,IA,Iowa
2298,Sioux Falls,43.54997,-96.70033,171544,SD,South Dakota
1440,Skokie,42.03336,-87.73339,64821,IL,Illinois
504,Slidell,30.27519,-89.78117,27942,LA,Louisiana
2290,Smithfield,41.92204,-71.54951,21872,RI,Rhode Island
2103,Smithtown,40.85593,-73.20067,26470,NY,New York
360,Smyrna,33.88399,-84.51438,56146,GA,Georgia
923,Smyrna,35.98284,-86.5186,46607,TN,Tennessee
361,Snellville,33.85733,-84.01991,19733,GA,Georgia
876,Socastee,33.6835,-78.99837,19952,SC,South Carolina
2910,Socorro,31.65456,-106.30331,33222,TX,Texas
2911,Socorro Mission Number 1 Colonia,31.63622,-106.29054,28637,TX,Texas
2759,Soledad,36.42469,-121.32632,25003,CA,California
2210,Solon,41.38978,-81.44123,23043,OH,Ohio
1593,Somerset,41.76955,-71.12866,18165,MA,Massachusetts
1889,Somerset,40.4976,-74.48849,22083,NJ,New Jersey
2407,Somerton,32.59644,-114.70968,15048,AZ,Arizona
1594,Somerville,42.3876,-71.0995,80318,MA,Massachusetts
593,South Bel Air,39.53316,-76.33746,48828,MD,Maryland
1505,South Bend,41.68338,-86.25001,101516,IN,Indiana
1595,South Boston,42.33343,-71.04949,571281,MA,Massachusetts
258,South Bradenton,27.4631,-82.58176,22178,FL,Florida
2303,South Burlington,44.46699,-73.17096,18791,VT,Vermont
1441,South Chicago,41.73977,-87.55425,28095,IL,Illinois
2760,South El Monte,34.05195,-118.04673,20878,CA,California
1442,South Elgin,41.99419,-88.2923,22365,IL,Illinois
2211,South Euclid,41.52311,-81.51846,21794,OH,Ohio
594,South Gate,39.129,-76.6258,29658,MD,Maryland
2761,South Gate,33.95474,-118.21202,96401,CA,California
1596,South Hadley,42.25842,-72.57453,17652,MA,Massachusetts
3124,South Hill,47.14121,-122.27012,52431,WA,Washington
1443,South Holland,41.60087,-87.60699,22043,IL,Illinois
1072,South Houston,29.66301,-95.23549,17544,TX,Texas
3050,South Jordan,40.56217,-111.92966,66648,UT,Utah
3049,South Jordan Heights,40.56384,-111.94938,37141,UT,Utah
3249,South Kingstown,41.44718,-71.52494,30826,RI,Rhode Island
2762,South Lake Tahoe,38.93324,-119.98435,21706,CA,California
595,South Laurel,39.06983,-76.85025,26112,MD,Maryland
1444,South Lawndale,41.84364,-87.71255,73826,IL,Illinois
